Year,Total voting-age population,Total percent,,White,,White non-Hispanic,,Black,,Asian1,,Hispanic (of any race),,      Total Population,
,,Total population ,Citizen population,Total population ,Citizen population,Total population ,Citizen population,Total population ,Citizen population,Total population ,Citizen population,Total population ,Citizen population,Male,Female
2018,"249,748",61.3,66.9,63.7,68.5,69.8,71,60.2,63.9,37.7,53,37.9,53.7,59.5,63
2016,"245,502",64.2,70.3,66.3,71.7,72.5,73.9,65.3,69.4,38.9,56.3,39.2,57.3,62.3,66
2014,"239,874",59.3,64.6,61.3,65.9,66.9,68.1,59.7,63.4,34.4,48.8,34.9,51.3,57.2,61.2
2012,"235,248",65.1,71.2,66.7,71.9,72.4,73.7,68.5,73.1,37.2,56.3,38.9,58.7,63.1,67
2010,"229,690",59.8,65.1,61.6,66.4,67,68.2,58.8,62.8,34.1,49.3,33.8,51.6,57.9,61.5
2008,"225,499",64.9,71,66.6,72,72,73.5,65.5,69.7,37.3,55.3,37.6,59.4,62.6,67
2006,"220,603",61.6,67.6,64,69.5,69.7,71.2,57.4,60.9,32.9,49.1,32.1,53.7,59.5,63.5
2004,"215,694",65.9,72.1,67.9,73.6,73.5,75.1,64.4,68.7,34.9,51.8,34.3,57.9,64,67.6
2002,"210,421",60.9,66.5,63.1,67.9,67.9,69.4,58.5,62.4,30.7,49.2,32.6,52.5,58.9,62.8
2000,"202,609",63.9,69.5,65.7,70.4,70,71.6,63.6,67.5,30.7,52.4,34.9,57.4,62.2,65.6
1998,"198,228",62.1,67.1,63.9,68.2,67.9,69.3,60.2,63.6,29.1,48.9,33.7,55.2,60.6,63.5
1996,"193,651",65.9,71,67.7,72,71.6,73,63.5,66.4,32.6,57.2,35.7,58.6,64.4,67.3
1994,"190,267",62.5,67.1,64.6,68.4,68.1,69.4,58.5,61.3,28.7,51.9,31.3,52.9,61.2,63.7
1992,"185,684",68.2,75.2,70.1,76.3,73.5,77.1,63.9,70,31.2,61.6,35,62.5,66.9,69.3
1990,"182,118",62.2,68.2,63.8,69.1,66.7,69.9,58.8,63.5,28.4,56,32.3,55.2,61.2,63.1
1988,"178,098",66.6,72.1,67.9,72.8,70.8,73.6,64.5,68.8,NA,NA,35.5,59.1,65.2,67.8
1986,"173,890",64.3,69,65.3,69.5,67.7,70.2,64,67.3,NA,NA,35.9,56.4,63.4,65
1984,"169,963",68.3,73.9,69.6,74.5,71.6,75.1,66.3,72,NA,NA,40.1,61.4,67.3,69.3
1982,"165,483",64.1,68.5,65.6,69.4,67.5,70.1,59.1,62.6,NA,NA,35.3,53.7,63.7,64.4
1980,"157,085",66.9,72.3,68.4,73.4,70.3,74.1,60,64.1,NA,NA,36.4,56,66.6,67.1
1978,"151,646",62.6,66.7,63.8,67.5,65.4,68.2,57.1,60.6,NA,NA,32.9,50.1,62.6,62.5
1976,"146,548",66.7,NA,68.3,NA,NA,NA,58.5,NA,NA,NA,37.8,NA,67.1,66.4
1974,"141,299",62.2,NA,64.6,NA,NA,NA,54.2,NA,NA,NA,34.9,NA,62.8,61.7
1972,"136,203",72.3,NA,73.4,NA,NA,NA,65.5,NA,NA,NA,44.4,NA,73.1,71.6
1970,"120,701",68.1,NA,70.8,NA,NA,NA,64.5,NA,NA,NA,NA,NA,69.6,66.8
1968,"116,535",74.3,NA,75.4,NA,NA,NA,66.2,NA,NA,NA,NA,NA,76,72.8
1966,"112,800",70.3,NA,71.7,NA,NA,NA,60.2,NA,NA,NA,NA,NA,72.2,68.6
1964,"110,604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
